,index,text,book,textLength
0,2,THIRD EDITION,booklet6,13
1,3,BOOKLET SIX: SECTION 11,booklet6,23
2,4,￼,booklet6,1
3,5,DECEMBER 2020,booklet6,13
4,6,      ￼                                                                         ￼                                                                  ,booklet6,147
5,7,TECHNICAL GUIDELINES FOR INTEGRATED DISEASE SURVEILLANCE AND RESPONSE IN THE AFRICAN REGION ,booklet6,92
6,8,THIRD EDITION,booklet6,13
7,9,BOOKLET SIX: SECTION 11,booklet6,23
8,10,DECEMBER 2020,booklet6,13
9,11,﷐﷐﷐﷐﷐﷐﷐﷐﷐,booklet6,9
10,12,This booklet comprises the following sections of the Integrated Disease Surveillance and Response Technical Guidelines: Section 11:   Summary guidelines for Specific Priority Diseases Section  ,booklet6,193
11,13,Table of Contents,booklet6,17
12,14,FOREWORD	v,booklet6,10
13,15,ACKNOWLEDGMENTS	vii,booklet6,19
14,16,LIST OF ABBREVIATIONS	ix,booklet6,24
15,17,"SECTION 11: SUMMARY GUIDELINES FOR SPECIFIC PRIORITY DISEASES, EVENTS AND CONDITIONS	1",booklet6,86
16,18,Acute haemorrhagic fever syndrome	4,booklet6,35
17,19,Acute and chronic viral hepatitis	9,booklet6,35
18,20,Adverse Events Following Immunization (AEFI)	15,booklet6,47
19,21,Anthrax (human)	17,booklet6,18
20,22,Bacterial Meningitis	24,booklet6,23
21,23,Buruli ulcer (BU) (Mycobacterium ulcerans disease)	30,booklet6,53
22,24,Chikungunya	34,booklet6,14
23,25,Cholera	39,booklet6,10
24,26,Dengue Fever	43,booklet6,15
25,27,Diabetes	48,booklet6,11
26,28,Diarrhoea with blood (Shigella)	51,booklet6,34
27,29,Diarrhoea with dehydration in children less than 5 years of age	55,booklet6,66
28,30,Dracunculiasis (Guinea Worm Disease)	57,booklet6,39
29,31,Ebola or Marburg virus diseases	61,booklet6,34
30,32,Epilepsy	67,booklet6,11
31,33,Foodborne Illnesses	70,booklet6,22
32,34,Hypertension	73,booklet6,15
33,35,Influenza caused by a new subtype	76,booklet6,36
34,36,Influenza-like Illness (ILI)	83,booklet6,31
35,37,Injuries (Road traffic accidents)	86,booklet6,36
36,38,Lassa and Crimean-Congo Haemorrhagic Fevers	89,booklet6,46
37,39,Leprosy	93,booklet6,10
38,40,Lymphatic Filariasis	96,booklet6,23
39,41,Malaria	100,booklet6,11
40,42,Malnutrition	105,booklet6,16
41,43,Maternal Deaths	108,booklet6,19
42,44,Measles	111,booklet6,11
43,45,Middle East respiratory syndrome (MERS)	115,booklet6,43
44,46,MonkeyPox	125,booklet6,13
45,47,Neonatal and Non-neonatal tetanus	129,booklet6,37
46,48,New HIV/AIDS Cases	131,booklet6,22
47,49,Noma	135,booklet6,8
48,50,Onchocerciasis	138,booklet6,18
49,51,Perinatal (Stillbirths and Neonatal) Deaths	140,booklet6,47
50,52,Bubonic Plague	144,booklet6,18
51,53,Pneumonic Plague	148,booklet6,20
52,54,Poliomyelitis (Acute flaccid paralysis)	153,booklet6,43
53,55,Rabies (Human)	156,booklet6,18
54,56,Rift Valley Fever (RVF)	160,booklet6,27
55,57,Severe Acute Respiratory Infections (SARIs)	165,booklet6,47
56,58,Severe Acute Respiratory Syndrome (SARS)	169,booklet6,44
57,59,Severe Pneumonia in Children under 5 years of age	174,booklet6,53
58,60,Sexually transmitted infections	177,booklet6,35
59,61,Smallpox (Variola)	180,booklet6,22
60,62,Trachoma	185,booklet6,12
61,63,Trypanosomiasis	188,booklet6,19
62,64,Tuberculosis	191,booklet6,16
63,65,Typhoid Fever	195,booklet6,17
64,66,Unexplained Cluster of Health Events or Deaths	198,booklet6,50
65,67,West Nile Fever	203,booklet6,19
66,68,Yaws and endemic syphilis or bejel	208,booklet6,38
67,69,Yellow fever	212,booklet6,16
68,70,Zika virus disease	216,booklet6,22
69,71,Annexes to Section 11	223,booklet6,25
70,72,ANNEX 11A: Adverse event following immunization investigation form	224,booklet6,70
71,73,ANNEX 11B: Acute Flaccid Paralysis case investigation form	226,booklet6,62
72,74,ANNEX 11C: Cholera case-based investigation form	228,booklet6,52
73,75,ANNEX 11D: Maternal and Perinatal death reporting forms	231,booklet6,59
74,76,ANNEX 11E: Measles case investigation form	237,booklet6,46
75,77,ANNEX 11F: Bacterial Meningitis case investigation form and Decisional tree	239,booklet6,79
76,78,ANNEX 11G: Neonatal Tetanus case investigation form	244,booklet6,55
77,79,ANNEX 11 H: Respiratory diseases (including Influenza) case investigation form	246,booklet6,82
78,80,ANNEX 11I: Tuberculosis (MDR and XDR TB) case-based reporting form	252,booklet6,70
79,81,ANNEX 11J: Viral haemorrhagic fever case reporting form	254,booklet6,59
80,82,ANNEX 11L: Viral haemorrhagic fever case investigation form	255,booklet6,63
81,83,ANNEX 11K: Acute or Chronic Viral Hepatitis case investigation form	258,booklet6,71
82,84,Annex 11M: IDSR Outbreak line list	262,booklet6,38
83,85,ANNEX 11 N: Contact listing forms	263,booklet6,37
84,86,ANNEX 11O: Community alert reporting form	264,booklet6,45
85,87,ANNEX 11P: Community-Based Surveillance (CBS) Suspected Diseases and Public Health  Events Monthly Log Sheet	265,booklet6,112
86,88,ANNEX 11Q: Reporting forms for adverse events following immunization (AEFI)	267,booklet6,79
87,89,Annex 11R: Aide-Memoir on Adverse Events Following Immunization Investigation	272,booklet6,81
88,90,FOREWORD,booklet6,8
89,91,"In 1998, the World Health Organization (WHO) Regional Office for Africa (AFRO) together with technical partners adopted a strategy for developing and implementing comprehensive public health surveillance and response systems in African countries, initially called integrated disease surveillance (IDS). However, to highlight the linkage between surveillance and response, the strategy was later re-named Integrated Disease Surveillance and Response (IDSR). Malawi adopted the first edition of the IDSR technical guidelines in 2005. Since then, there has been an investment in human and material resources to strengthen capacities for public health surveillance systems in order to prevent, timely detect, and respond appropriately to public health threats. ",booklet6,757
90,92,"The coming into force, in 2007, of the International Health Regulations (IHR 2005), the emergence of new diseases, conditions and events and the formulation of strategies for disaster risk management (DRM) resulted in the need to revise the first edition of the IDSR technical guidelines. There was also the need to address the increasing burden of non-communicable diseases. Furthermore, there was the need to strengthen community-based surveillance for early detection, rapid confirmation and response to public health threats. Moreover, alignment with broader system strengthening objectives was required. Hence, in 2010, the second edition of the IDSR guidelines was developed, which Malawi subsequently adapted in 2014.",booklet6,724
91,93,"Diseases, both communicable and non-communicable, continue to be a major cause of morbidity and mortality in Malawi and in the Africa region as a whole despite the advanced global knowledge on how to detect and control them. Of late, non-communicable diseases are increasingly becoming a major public health problem in the country. The majority of non-communicable diseases are preventable but multiple factors which include environmental, social, and economic determinants hamper effective prevention and control of these diseases. Emerging and re-emerging diseases and conditions pose a threat to the country’s health security. ",booklet6,630
92,94,"Responding to health emergencies remains a major challenge, as shown by recent health emergencies in the country as well as the African region, the unprecedented Ebola Virus Disease of 2014, the ongoing Coronavirus Disease of 2019 Pandemic. Specifically, challenges in capacity to prevent, detect and respond to public health threats have been identified. As one way of addressing these problems, the Ministry of Health is strengthening the disease surveillance systems using the Third Edition of the guidelines for IDSR as revised by the WHO-AFRO in 2018 and adapted to our context in 2020.",booklet6,591
93,95,"It is worth noting that, many Public Health Events (PHEs) and emergencies and their associated risk factors could be prevented or their effects mitigated. However, the health systems in most countries remain inadequate. To avert and mitigate the effects of future health security risks and emergencies, Malawi intends to  implement these IDSR technical guidelines. These guidelines recommend thresholds for action for priority diseases, conditions, public health events and responding to alerts. Using these action thresholds can be lifesaving. Therefore, it is important that we scale up and fully implement this third edition of the IDSR technical guidelines in the country as they explicitly describe what needs to be established at each level of the health system in order to detect, confirm and respond to diseases, conditions and health events that are responsible for  illness, deaths and disability in local communities.",booklet6,928
94,96,"The cost of good public health surveillance as a public health good is relatively very low compared to many other strategies. Let us all embrace these IDSR technical guidelines to strengthen capacities for preparedness, alert and response for health security in the country.",booklet6,274
95,97,"These guidelines are to be used by all relevant multisectoral stakeholders at all levels as general reference for surveillance activities, set of standard definitions for threshold levels that initiate action for responding to specific diseases, stand-alone reference for level-specific responsibilities, resource for developing training, supervision, monitoring and evaluation of surveillance activities, and as a guide for improving early detection and response of epidemic prone diseases.",booklet6,491
96,98,"Finally, I appeal to you all to ensure that the third edition of the IDSR technical guidelines are implemented within a broader context of health system strengthening; better coordination between human and animal health surveillance and other sectors involved in One Health approach; improved use of laboratory network capacity in surveillance and response; and better community engagement in public health interventions.",booklet6,421
97,99,Dr. Charles Mwansambo,booklet6,21
98,100,Secretary for Health,booklet6,20
99,101,ACKNOWLEDGMENTS,booklet6,15
100,102,Ministry of Health is grateful to the following who contributed to the preparation of this revised document by reviewing early drafts and providing constructive comments.,booklet6,170
101,103,"MINISTRY OF HEALTH, HEADQUARTERS﷐GOVERNMENT SECTORS (DISTRICT HEALTH OFFICES (DHO),  ANIMAL HEALTH, MDF)﷐Dr Matthew Kagoli Dr Evelyn Chitsa Banda Dr Annie Chauma Mwale Mr Mabvuto Chiwaula Mr Edward Chado Dr Dzinkambani Kambalame Mr Wiseman Chimwaza Mrs Mtisunge Yelewa Mr Daniel Mapemba Mr Mavuto Thomas Mr Alvin Chidothi Phiri Ms Rosemary Bilesi Mrs Brenda Mhone Ms Enelesi Mitochi Mr Isaias Dambe Mr Sikhona Chipeta Ms Ella Chamanga Mr Allone Ganizani Mr Hollystone Kafanikhale Ms Flora Dimba Mr Blessings Kamanga Mr Rajab Billy Mr Precious Phiri Ms Doreen N. Ali Dr Kaponda Masiye Douglas Mhone Mr Abel Phiri Mr Harry Milala﷐Mr Noel Zondola Mr Chandiwira Jere Mr Austin Zgambo Mr Paul Chunga Dr Gracewell Mathewe Ms Masilina Kausiwa Mr Noel Khunga Mr Willy Kanyika Mr Chrispine Thomo Mr Thomson Kajombo Dr Macdonald Chisale Major Lutufyo Kayange﷐PARTNER ORGANIZATIONS  ﷐Ms Elizabeth Chingaipe, World Health Organization(WHO) Mr Joseph Wu, Luke International(LIN) Mr. Oscar Divala, UNICEF Mr John E. Mtingwi, CSA/P",booklet6,1016
102,104,"Special thanks go to the following for finalizing the document:  Dr. B. Chilima, Dr Evelyn Chitsa Banda, Dr Annie Chauma Mwale, Mr Mabvuto Chiwaula, Dr Getrude Chapotera, Mrs Elizabeth Chingaipe, Mr Edward Chado, Mr Wiseman Chimwaza, Mrs Mtisunge Yelewa, Mr Sydney Paul, Mr Alvin Chidothi Phiri, Mr Sikhona Chipeta and Mr Joseph Wu.",booklet6,332
103,105,LIST OF ABBREVIATIONS,booklet6,21
104,106,"AAR AEFI  AFP ﷐After Action Reviews Adverse Events Following Immunization  Acute Flaccid Paralysis  ﷐AFRO  AWD ﷐WHO Regional Office for Africa  Acute Watery Diarrhoea  ﷐CDC ﷐Centers for Disease Control and Prevention ﷐CDO  CBS CBIS  CEBS  CFR ﷐County Diagnostic Officer  Community Based Surveillance Community Based Information System  Community Event Based Surveillance  Case Fatality Rate ﷐CHA  CHSS ﷐Community Health Assistants  Community Health Services Supervisor ﷐CHO  CHT ﷐County Health Officer  County Health Team ﷐CHV ﷐Community Health Volunteer ﷐CSO ﷐County Surveillance Officer ﷐DDO ﷐District Diagnostic Officer ﷐DHIS2 ﷐District Health Information System version 2 ﷐DHO ﷐District Health Officer ﷐DHT  DPC ﷐District Health Team  Disease Prevention and Control Department ﷐DRM DSO  EBS eDEWS ﷐Disaster Risk Management District Surveillance Officer  Event Based Surveillance Electronic Disease Early Warning System ﷐EOC ﷐Emergency Operations Centre ﷐EPI ﷐Expanded Program on Immunization ﷐EPR ﷐Emergency Preparedness and Response ﷐EVD ﷐Ebola Virus Disease ﷐HCF ﷐Healthcare Facility ﷐HCW  HIV/AIDS    HMER ﷐Healthcare Worker  Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome  Health Management Information Systems, Monitoring and Evaluation and Research Units ﷐HMIS ﷐Health Management Information System ﷐HPO ﷐Health Promotion Officer ﷐IDSR  IBS IMS﷐Integrated Disease Surveillance and Response  Indicator Based Surveillance Incident Management System﷐IEC  IMC  IOM ﷐Information, Education and Communication  International Medical Corps International Organization for Migration﷐IPC ﷐Infection Prevention and Control ﷐IHR (2005)  IRC  JEE LISGIS ﷐International Health Regulations (2005)  International Rescue Committee  Joint External Evaluation Liberian Institute of Statistics and Geo-Information Services ﷐MACV MCH  MDR﷐Meningococcal Conjugate Vaccine Maternal Child Health  Multi Drug Resistance﷐MEF MOH  MOA MTI ﷐Monitoring and Evaluation Framework Ministry of Health  Ministry of Agriculture Medical Teams International ﷐NGO ﷐Non-Government Organization  ﷐NNT  NSTCC OIC PCI PHE PoE PHEIC PHEMC PPE RRT  RTA  SARS  SCI  SFP  SIMEX STI  UNICEF VHF WHO XDR﷐Neonatal Tetanus  National Surveillance Technical Coordination Committee  Officer in Charge  Project Concern International Public Health Events Points of Entry Public Health Emergency of International Concern Public Health Emergency Management Committee Personal Protective Equipment Rapid Response Team  Road Traffic Accident  Severe Acute Respiratory Syndrome  Save the Children International  Surveillance Focal Point  Simulation Exercise Sexually Transmitted Infections  United Nations Children’s Emergency Fund Viral Haemorrhagic Fever World Health Organization Extensively drug-resistant ",booklet6,2781
105,107,"SECTION 11: SUMMARY GUIDELINES FOR SPECIFIC PRIORITY DISEASES, EVENTS AND CONDITIONS",booklet6,84
106,108,"This section provides summary guidelines for each of the priority diseases, events and conditions targeted for surveillance by WHO/AFRO. It provides disease/event/condition specific guidance to:",booklet6,194
107,109,"Take action to respond to alerts and action thresholds,",booklet6,55
108,110,"Identify surveillance goals and objectives, ",booklet6,44
